Demo_ID,Group,Phase_Label,Target_Arm,Smoothness,SPARC,Ellipsoid_Volume_95,Kinematic_SampEn,Total_Path_Length
0,Global_Adaptive,5,L,3.2524039096043302,-3.5996876001262015,1.3057198021176333e-08,,0.007563158621535235
1,Global_Adaptive,5,L,5.554317975033167,-3.9845350110379694,2.60050958986498e-07,0.42488319396526597,0.02769166823380282
2,Global_Adaptive,5,L,4.64320318798944,-2.4403777236630138,4.969700552829381e-08,0.8209805520698302,0.016622638871592873
3,Global_Adaptive,5,L,3.477524055896786,-3.8049907372279597,1.955652465790656e-07,0.49247648509779407,0.02281594296407099
4,Global_Adaptive,5,L,3.938205173464726,-4.391658564228935,1.7143903960405376e-08,1.2039728043259361,0.009307726965934468
5,Phased_Adaptive,5,L,2.3013601928401064,-9.210239186411163,2.453574580299148e-08,0.35667494393873245,0.00903577350062323
10,Global_Adaptive,5,L,3.370583755285682,-6.921290003584705,2.687865279708834e-10,0.17645643734155653,0.0017738802246898043
12,Global_Adaptive,5,L,4.9006123586187895,-5.572166600790473,1.902484169733037e-08,0.5819215454497209,0.009397437612873453
13,Global_Adaptive,5,L,6.0446647864075755,-3.862956395389779,4.001235928976542e-06,0.43003636883866964,0.05198089103265113
14,Global_Adaptive,5,L,4.278183005361454,-3.824920719386989,1.5052894628278455e-08,1.0116009116784799,0.012254535466936176
15,Phased_Adaptive,5,L,5.029644971548331,-3.285893745043942,9.189884283066101e-08,0.30748469974796055,0.018283307000085583
20,Phased_Adaptive,5,L,3.8338795241307135,-4.217693687334423,1.7893131116923907e-08,0.22884157242884753,0.010240322364686317
22,Global_Adaptive,5,L,3.047273052876847,-6.025271770009348,1.5736493110931995e-08,0.2876820724517809,0.007585993895295686
23,Global_Adaptive,5,L,3.4547838211263264,-4.896122952159733,1.0944825975773526e-08,1.0986122886681098,0.007253889213587646
25,Global_Adaptive,5,L,1.8992861717553624,-4.265211703264288,2.8965763538783506e-08,,0.007893695156088669
26,Phased_Adaptive,5,L,1.8848624816765307,-3.1469346922548382,1.2727310432845445e-08,,0.006452211147384606
27,Phased_Adaptive,5,L,3.1953597100835913,-4.245800184605239,7.485325179851477e-08,0.6931471805599453,0.01247107680188821
29,Phased_Adaptive,5,L,0.7351115446298107,-3.556773548685851,2.1233422646671143e-09,,0.003238712392588103
31,Global_Adaptive,5,L,6.92687992794356,-4.359763562653579,7.496086264200355e-07,0.22223816419939718,0.03573877098603251
32,Global_Adaptive,5,L,5.106644215366332,-3.7497243618999954,2.1466817303577917e-07,0.5280674302004967,0.025572218741211336
33,Global_Adaptive,5,L,4.419108614784685,-5.037028976866056,5.138183744706503e-07,0.7178397931503169,0.01972995720542943
35,Global_Adaptive,5,L,6.501917404172749,-5.473033189083651,1.5972174297450118e-07,0.40546510810816444,0.03228125255075057
37,Phased_Adaptive,5,L,6.881592402881237,-3.662937792679205,1.4315864237393763e-06,0.5108256237659907,0.0536113064008829
38,Phased_Adaptive,5,L,7.271074925588461,-4.856718353359052,1.5783516215834533e-07,0.18368302739227577,0.025537618110754844
40,Phased_Adaptive,5,L,3.6991760812917502,-4.066636852914806,8.60265508278434e-08,0.49469624183610705,0.012209031961354522
41,Global_Adaptive,5,L,4.820413771056826,-3.9715201127711577,2.420285886643118e-07,0.3848458209054287,0.0345657715701517
42,Global_Adaptive,5,L,5.034051427967634,-4.29231867081827,3.741702396895409e-07,1.0986122886681098,0.025738875927937103
43,Global_Adaptive,5,L,6.62980459298529,-4.816719203534458,2.34625715232818e-07,0.6174353588242489,0.03637529097580462
44,Phased_Adaptive,5,L,1.993896654341723,-4.271262439219725,1.7403291370671088e-08,1.0986122886681098,0.009360379108133178
45,Phased_Adaptive,5,L,1.2596660806323938,-4.922905478832335,2.0765217626898048e-11,1.0986122886681098,0.0009644688490350545
47,Global_Adaptive,5,L,4.929212561389103,-4.730063590796846,9.758916673691249e-08,0.41197978912935806,0.022155807553304405
48,Global_Adaptive,5,L,4.437762362160195,-3.5917324296935487,9.001301284445855e-08,0.4238142467763609,0.017113579631666626
49,Global_Adaptive,5,L,3.8108747075010885,-3.6598131224309975,2.954612945838447e-08,1.9459101490553135,0.0178814553382183
50,Phased_Adaptive,5,L,2.3385961816845855,-5.600831656576615,9.26028651003785e-09,0.6931471805599453,0.007462599225159199
52,Phased_Adaptive,5,L,0.4079751328615279,-4.077842515903847,7.708033849207926e-11,,0.003220382485199008
53,Global_Adaptive,5,L,4.1232912690491,-5.095335046349951,5.451874329027871e-09,1.3862943611198906,0.008107914021545497
54,Global_Adaptive,5,L,2.96319490954998,-3.4906478361077014,2.6645893424807337e-08,,0.00841864617415021
55,Global_Adaptive,5,L,3.9717578158795748,-4.016472862573506,1.8351173782692974e-07,1.0986122886681098,0.021892275221038614
57,Phased_Adaptive,5,L,-0.12847569740537526,-3.760255211374728,1.4633662840483023e-10,,0.004769110219485031
58,Phased_Adaptive,5,L,-0.1253580329499875,-3.2686141628055565,2.6529355545542216e-10,,0.002659949827945819
59,Global_Adaptive,5,L,3.5459570544584027,-3.582397149633311,3.3859133495338116e-08,,0.016156854765373117
60,Global_Adaptive,5,L,2.8592914096024407,-4.229732324232011,5.4191828082618884e-08,,0.012839716568386188
61,Global_Adaptive,5,L,4.246103753904669,-4.560535725247547,4.356519758506104e-09,0.9808292530117262,0.012700106917177514
63,Phased_Adaptive,5,L,1.5916651083077138,-5.369467710379298,2.6957541371704184e-09,,0.007552024705374146
65,Global_Adaptive,5,L,5.11930375767,-5.0413459706783375,5.519675407556356e-08,0.5695332245927687,0.016606300613849892
66,Global_Adaptive,5,L,3.9713852353798127,-5.524026715440127,9.437173715238369e-09,0.2231435513142097,0.01518640572308444
67,Global_Adaptive,5,L,4.703173896607473,-3.828684853301253,4.612659888683186e-08,2.0794415416798357,0.016592827679060458
68,Global_Adaptive,5,L,3.268863344830614,-3.89652045648149,1.3112440365177708e-08,0.2006706954621511,0.01145019089244878
69,Global_Adaptive,5,L,2.6891383219256912,-4.242799021788958,5.5912183046817715e-09,0.6931471805599453,0.008503820590796863
70,Global_Adaptive,5,L,4.473048154985374,-4.42362144117799,3.785621013698002e-07,0.7731898882334817,0.02255358882967591
74,Phased_Adaptive,5,L,-0.6889521606134856,-5.1998166670255745,2.2095678039280847e-09,,0.00354803106581071
75,Phased_Adaptive,5,L,3.453225763885627,-3.1739471884048855,6.91150137915889e-08,0.4307829160924542,0.0115385210636941
